Emanuella,Fialho,1990-05-12 00:00:00,Brasília,Tênis,43,200,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Iago,Bensdorp,1989-07-16,Salvador,Tênis,34,200,,,,,,,
Elizeu,Barros,1986-01-03,Porto Alegre,Jaqueta,16,250,,,,,,,
Tayna,Coimbra,1993-03-09,Salvador,Bermuda,41,150,,,,,,,
Eduarda,Figueiredo,1991-01-12,Curitiba,Short,131,55,,,,,,,
Joyce,Ribas,1987-02-11,Salvador,Pulseira,114,30,,,,,,,
Eduarda,Figueiredo,1988-11-28,Rio de Janeiro,Camiseta,117,85,,,,,,,
Maryanna,Correa,1985-01-22,São Paulo,Short,139,55,,,,,,,
Jucelia,Bailly,1992-05-22,Fortaleza,Bermuda,130,150,,,,,,,
Andrew,Carvalhal,1991-12-12,Brasília,Tênis,51,200,,,,,,,
Juliane,Felipi,1988-10-16,Porto Alegre,Vestido,25,300,,,,,,,
Eduarda,Figueiredo,1985-09-22,Salvador,Tênis,147,200,,,,,,,
Izabel,Milagre,1985-08-28,Salvador,Camiseta,94,85,,,,,,,
Paloma,Farias,1992-02-16,São Paulo,Vestido,35,300,,,,,,,
Breno,Amaral,1987-10-17,Porto Alegre,Short,15,55,,,,,,,
Paloma,Farias,1991-10-16,São Paulo,Vestido,136,300,,,,,,,
Andrew,Carvalhal,1990-11-08,Curitiba,Sandália,140,110,,,,,,,
Tayna,Coimbra,1992-08-11,Rio de Janeiro,Camiseta,57,85,,,,,,,
Eduarda,Figueiredo,1993-08-21,São Paulo,Vestido,8,300,,,,,,,
Paloma,Farias,1989-11-05,São Paulo,Tênis,37,200,,,,,,,
Jucelia,Bailly,1993-11-25,Rio de Janeiro,Vestido,46,300,,,,,,,
Joyce,Ribas,1986-04-10,Fortaleza,Camiseta,119,85,,,,,,,
Joyce,Ribas,1989-01-22,Fortaleza,Vestido,14,300,,,,,,,
Maryanna,Correa,1987-04-24,Rio de Janeiro,Vestido,89,300,,,,,,,
Iago,Bensdorp,1985-07-20,Brasília,Jaqueta,81,250,,,,,,,
Breno,Amaral,1986-07-16,Porto Alegre,Camiseta,112,85,,,,,,,
Maryanna,Correa,1988-01-07,Fortaleza,Jaqueta,20,250,,,,,,,
Iago,Bensdorp,1985-04-30,Salvador,Casaco,149,190,,,,,,,
Joyce,Ribas,1986-07-11,Rio de Janeiro,Camiseta,90,85,,,,,,,
Patricia,Camara,1989-08-15,Porto Alegre,Saia,121,75,,,,,,,
Jucelia,Bailly,1985-11-20,Porto Alegre,Short,73,55,,,,,,,
Jucelia,Bailly,1993-01-17,Porto Alegre,Camiseta,140,85,,,,,,,
Eduarda,Figueiredo,1986-06-18,Rio de Janeiro,Chinelo,66,25,,,,,,,
Patricia,Camara,1990-03-04,Rio de Janeiro,Tênis,2,200,,,,,,,
Andrew,Carvalhal,1989-12-11,Porto Alegre,Bermuda,29,150,,,,,,,
Jucelia,Bailly,1989-07-03,Salvador,Jaqueta,9,250,,,,,,,
Natália,Huon,1988-07-02,Rio de Janeiro,Casaco,75,190,,,,,,,
Natália,Huon,1991-05-30,São Paulo,Tênis,146,200,,,,,,,
Natália,Huon,1992-05-08,São Paulo,Short,7,55,,,,,,,
Paloma,Farias,1986-11-17,Fortaleza,Bermuda,97,150,,,,,,,
Patricia,Camara,1989-09-23,Brasília,Short,109,55,,,,,,,
Joyce,Ribas,1991-02-03,Brasília,Pulseira,67,30,,,,,,,
Breno,Amaral,1991-06-16,Salvador,Camiseta,139,85,,,,,,,
Elizeu,Barros,1989-06-29,Curitiba,Sandália,141,110,,,,,,,
Jucelia,Bailly,1988-01-28,Brasília,Saia,147,75,,,,,,,
Breno,Amaral,1991-10-26,Rio de Janeiro,Short,136,55,,,,,,,
Breno,Amaral,1993-11-28,Brasília,Chinelo,79,25,,,,,,,
Paloma,Farias,1992-04-05,Fortaleza,Jaqueta,19,250,,,,,,,
Patricia,Camara,1986-06-23,Rio de Janeiro,Camiseta,149,85,,,,,,,
Emanuella,Fialho,1989-06-04,São Paulo,Casaco,65,190,,,,,,,
Breno,Amaral,1987-12-26,Salvador,Chinelo,109,25,,,,,,,
Elizeu,Barros,1989-08-11,Fortaleza,Saia,101,75,,,,,,,
Jucelia,Bailly,1990-05-05,Fortaleza,Casaco,81,190,,,,,,,
Juliane,Felipi,1990-08-04,Brasília,Chinelo,15,25,,,,,,,
Natália,Huon,1985-01-30,Salvador,Casaco,9,190,,,,,,,
Paloma,Farias,1985-03-25,Fortaleza,Bermuda,128,150,,,,,,,
Joyce,Ribas,1986-09-26,Rio de Janeiro,Casaco,84,190,,,,,,,
Tayna,Coimbra,1989-11-25,Rio de Janeiro,Short,104,55,,,,,,,
Eduarda,Figueiredo,1987-05-30,Curitiba,Jaqueta,14,250,,,,,,,
Patricia,Camara,1991-06-14,Curitiba,Pulseira,64,30,,,,,,,
Tayna,Coimbra,1989-09-27,Salvador,Tênis,87,200,,,,,,,
Andrew,Carvalhal,1989-01-15,Rio de Janeiro,Jaqueta,29,250,,,,,,,
Jucelia,Bailly,1986-09-29,Curitiba,Jaqueta,38,250,,,,,,,
Emanuella,Fialho,1990-05-08,Salvador,Saia,39,75,,,,,,,
Iago,Bensdorp,1988-04-25,Curitiba,Short,104,55,,,,,,,
Izabel,Milagre,1986-11-09,Salvador,Saia,69,75,,,,,,,
Andrew,Carvalhal,1987-10-18,Brasília,Saia,110,75,,,,,,,
Eduarda,Figueiredo,1987-09-30,Brasília,Camiseta,43,85,,,,,,,
Jucelia,Bailly,1993-11-07,Salvador,Sandália,102,110,,,,,,,
Jucelia,Bailly,1985-06-25,Salvador,Sapato,97,230,,,,,,,
Maryanna,Correa,1986-02-26,São Paulo,Camiseta,104,85,,,,,,,
Joyce,Ribas,1991-03-28,Porto Alegre,Sandália,148,110,,,,,,,
Joyce,Ribas,1993-07-10,Salvador,Jaqueta,2,250,,,,,,,
Emanuella,Fialho,1992-05-21,Curitiba,Saia,16,75,,,,,,,
Eduarda,Figueiredo,1987-10-24,Curitiba,Casaco,105,190,,,,,,,
Patricia,Camara,1986-03-12,São Paulo,Vestido,80,300,,,,,,,
Eduarda,Figueiredo,1988-06-02,Fortaleza,Pulseira,40,30,,,,,,,
Jucelia,Bailly,1992-01-06,Brasília,Camiseta,97,85,,,,,,,
Paloma,Farias,1985-08-08,Fortaleza,Chinelo,40,25,,,,,,,
Patricia,Camara,1985-01-31,Brasília,Sapato,17,230,,,,,,,
Natália,Huon,1992-03-15,Curitiba,Sandália,80,110,,,,,,,
Eduarda,Figueiredo,1986-01-30,São Paulo,Vestido,129,300,,,,,,,
Maryanna,Correa,1990-10-07,Brasília,Pulseira,85,30,,,,,,,
Emanuella,Fialho,1986-11-29,Fortaleza,Camiseta,51,85,,,,,,,
Juliane,Felipi,1991-10-23,Fortaleza,Chinelo,12,25,,,,,,,
Eduarda,Figueiredo,1986-09-03,Salvador,Jaqueta,26,250,,,,,,,
Natália,Huon,1985-06-27,Salvador,Sapato,132,230,,,,,,,
Elizeu,Barros,1990-08-18,São Paulo,Tênis,31,200,,,,,,,
Tayna,Coimbra,1988-06-02,Fortaleza,Saia,33,75,,,,,,,
Andrew,Carvalhal,1987-03-10,São Paulo,Jaqueta,15,250,,,,,,,
Iago,Bensdorp,1990-02-20,Curitiba,Camiseta,67,85,,,,,,,
Emanuella,Fialho,1985-03-20,Fortaleza,Casaco,93,190,,,,,,,
Maryanna,Correa,1987-11-15,Curitiba,Chinelo,17,25,,,,,,,
Breno,Amaral,1993-01-16,Brasília,Tênis,144,200,,,,,,,
Maryanna,Correa,1992-01-14,Curitiba,Jaqueta,99,250,,,,,,,
Jucelia,Bailly,1993-01-26,Curitiba,Short,144,55,,,,,,,
Jucelia,Bailly,1993-05-22,Fortaleza,Sandália,122,110,,,,,,,
Eduarda,Figueiredo,1988-12-25,Porto Alegre,Chinelo,4,25,,,,,,,
Emanuella,Fialho,1987-12-25,Salvador,Saia,90,75,,,,,,,
Breno,Amaral,1987-07-14,Curitiba,Casaco,80,190,,,,,,,
Elizeu,Barros,1987-07-24,Porto Alegre,Pulseira,38,30,,,,,,,
Tayna,Coimbra,1987-07-20,Salvador,Camiseta,143,85,,,,,,,
Patricia,Camara,1993-11-20,Fortaleza,Sapato,111,230,,,,,,,
Iago,Bensdorp,1990-11-28,Salvador,Saia,1,75,,,,,,,
Paloma,Farias,1985-06-18,São Paulo,Short,98,55,,,,,,,
Juliane,Felipi,1991-10-24,Curitiba,Bermuda,44,150,,,,,,,
Jucelia,Bailly,1987-10-06,São Paulo,Tênis,109,200,,,,,,,
Juliane,Felipi,1985-05-17,São Paulo,Camiseta,107,85,,,,,,,
Eduarda,Figueiredo,1989-09-15,Fortaleza,Jaqueta,33,250,,,,,,,
Maryanna,Correa,1991-06-28,Porto Alegre,Casaco,65,190,,,,,,,
Joyce,Ribas,1989-10-13,Rio de Janeiro,Sandália,72,110,,,,,,,
Patricia,Camara,1988-08-15,Salvador,Jaqueta,106,250,,,,,,,
Emanuella,Fialho,1987-03-25,Porto Alegre,Casaco,115,190,,,,,,,
Juliane,Felipi,1987-07-06,Porto Alegre,Saia,66,75,,,,,,,
Juliane,Felipi,1985-10-29,Fortaleza,Saia,88,75,,,,,,,
Iago,Bensdorp,1990-07-07,Brasília,Bermuda,129,150,,,,,,,
Jucelia,Bailly,1990-02-18,Brasília,Saia,39,75,,,,,,,
Iago,Bensdorp,1990-04-30,São Paulo,Jaqueta,146,250,,,,,,,
Natália,Huon,1990-05-12,Rio de Janeiro,Sandália,124,110,,,,,,,
Paloma,Farias,1990-10-06,Salvador,Sapato,87,230,,,,,,,
Juliane,Felipi,1990-08-01,Fortaleza,Chinelo,60,25,,,,,,,
Jucelia,Bailly,1989-02-19,Brasília,Saia,2,75,,,,,,,
Natália,Huon,1991-06-11,Salvador,Chinelo,147,25,,,,,,,
Emanuella,Fialho,1986-07-05,São Paulo,Casaco,148,190,,,,,,,
Eduarda,Figueiredo,1988-07-21,Porto Alegre,Chinelo,121,25,,,,,,,
Maryanna,Correa,1987-08-26,Rio de Janeiro,Pulseira,39,30,,,,,,,
Maryanna,Correa,1993-08-06,Brasília,Casaco,92,190,,,,,,,
Eduarda,Figueiredo,1993-01-10,Salvador,Camiseta,37,85,,,,,,,
Maryanna,Correa,1992-04-13,Fortaleza,Camiseta,134,85,,,,,,,
Patricia,Camara,1985-04-15,Brasília,Casaco,149,190,,,,,,,
Juliane,Felipi,1993-02-23,Porto Alegre,Jaqueta,67,250,,,,,,,
Andrew,Carvalhal,1986-08-17,Curitiba,Sapato,145,230,,,,,,,
Eduarda,Figueiredo,1990-09-28,São Paulo,Sandália,37,110,,,,,,,
Natália,Huon,1991-03-22,Fortaleza,Bermuda,37,150,,,,,,,
Elizeu,Barros,1988-02-12,Fortaleza,Tênis,26,200,,,,,,,
Jucelia,Bailly,1985-12-15,Curitiba,Camiseta,88,85,,,,,,,
Paloma,Farias,1990-05-18,Curitiba,Chinelo,64,25,,,,,,,
Iago,Bensdorp,1991-09-06,Salvador,Camiseta,31,85,,,,,,,
Paloma,Farias,1993-11-21,Salvador,Short,33,55,,,,,,,
Izabel,Milagre,1986-07-31,Fortaleza,Pulseira,9,30,,,,,,,
Emanuella,Fialho,1991-03-16,Brasília,Tênis,9,200,,,,,,,
Elizeu,Barros,1985-07-26,Rio de Janeiro,Short,61,55,,,,,,,
Emanuella,Fialho,1991-05-20,Porto Alegre,Tênis,94,200,,,,,,,
Jucelia,Bailly,1987-06-10,Fortaleza,Sandália,9,110,,,,,,,
Iago,Bensdorp,1986-11-14,São Paulo,Sapato,6,230,,,,,,,
Joyce,Ribas,1993-10-15,São Paulo,Short,61,55,,,,,,,
Andrew,Carvalhal,1989-08-07,Brasília,Saia,116,75,,,,,,,
Andrew,Carvalhal,1991-06-22,Salvador,Sandália,129,110,,,,,,,
Joyce,Ribas,1989-05-18,São Paulo,Vestido,29,300,,,,,,,
Maryanna,Correa,1993-11-15,Porto Alegre,Tênis,150,200,,,,,,,
Andrew,Carvalhal,1991-11-14,Salvador,Saia,101,75,,,,,,,
Elizeu,Barros,1992-09-10,Porto Alegre,Bermuda,64,150,,,,,,,
Patricia,Camara,1988-10-28,São Paulo,Pulseira,48,30,,,,,,,
Elizeu,Barros,1993-11-11,Fortaleza,Casaco,52,190,,,,,,,
Juliane,Felipi,1991-11-06,Salvador,Saia,27,75,,,,,,,
Eduarda,Figueiredo,1991-08-04,Porto Alegre,Casaco,130,190,,,,,,,
Elizeu,Barros,1988-12-07,Porto Alegre,Jaqueta,95,250,,,,,,,
Maryanna,Correa,1989-01-21,Fortaleza,Short,146,55,,,,,,,
Emanuella,Fialho,1989-07-10,Porto Alegre,Jaqueta,121,250,,,,,,,
Tayna,Coimbra,1992-08-17,Salvador,Vestido,118,300,,,,,,,
Eduarda,Figueiredo,1988-05-17,Brasília,Jaqueta,98,250,,,,,,,
Breno,Amaral,1990-04-28,Brasília,Camiseta,73,85,,,,,,,
Iago,Bensdorp,1988-07-13,Fortaleza,Jaqueta,51,250,,,,,,,
Natália,Huon,1988-07-25,Fortaleza,Saia,116,75,,,,,,,
Breno,Amaral,1987-01-03,Porto Alegre,Tênis,95,200,,,,,,,
Eduarda,Figueiredo,1993-12-01,Porto Alegre,Chinelo,56,25,,,,,,,
Juliane,Felipi,1993-10-14,Fortaleza,Vestido,79,300,,,,,,,
Juliane,Felipi,1989-07-07,Salvador,Casaco,27,190,,,,,,,
Tayna,Coimbra,1992-10-06,Fortaleza,Sandália,116,110,,,,,,,
Breno,Amaral,1993-01-02,Rio de Janeiro,Pulseira,65,30,,,,,,,
Andrew,Carvalhal,1989-11-05,Curitiba,Tênis,147,200,,,,,,,
Patricia,Camara,1989-10-20,São Paulo,Vestido,44,300,,,,,,,
Paloma,Farias,1985-11-25,Fortaleza,Short,73,55,,,,,,,
Iago,Bensdorp,1988-10-18,Porto Alegre,Vestido,88,300,,,,,,,
Tayna,Coimbra,1986-08-29,Brasília,Saia,5,75,,,,,,,
Eduarda,Figueiredo,1991-11-13,Fortaleza,Chinelo,77,25,,,,,,,
Iago,Bensdorp,1986-09-18,Porto Alegre,Bermuda,150,150,,,,,,,
Emanuella,Fialho,1990-02-16,Rio de Janeiro,Saia,25,75,,,,,,,
Breno,Amaral,1987-06-07,Porto Alegre,Camiseta,10,85,,,,,,,
Eduarda,Figueiredo,1993-04-28,Curitiba,Sandália,110,110,,,,,,,
Breno,Amaral,1989-12-30,Brasília,Jaqueta,25,250,,,,,,,
Elizeu,Barros,1987-02-26,São Paulo,Chinelo,58,25,,,,,,,
Izabel,Milagre,1988-03-30,Fortaleza,Jaqueta,141,250,,,,,,,
Patricia,Camara,1988-07-14,Salvador,Bermuda,22,150,,,,,,,
Izabel,Milagre,1993-04-22,São Paulo,Chinelo,38,25,,,,,,,
Natália,Huon,1990-07-20,Brasília,Short,79,55,,,,,,,
Andrew,Carvalhal,1993-06-02,Brasília,Short,71,55,,,,,,,
Jucelia,Bailly,1988-09-24,Salvador,Sapato,82,230,,,,,,,
Andrew,Carvalhal,1988-10-05,Curitiba,Vestido,129,300,,,,,,,
Maryanna,Correa,1986-11-04,Porto Alegre,Saia,126,75,,,,,,,
Breno,Amaral,1988-05-16,São Paulo,Short,53,55,,,,,,,
Emanuella,Fialho,1988-12-14,Curitiba,Sandália,76,110,,,,,,,
Jucelia,Bailly,1992-06-26,Salvador,Camiseta,66,85,,,,,,,
Jucelia,Bailly,1989-08-21,Brasília,Vestido,38,300,,,,,,,
Elizeu,Barros,1985-02-08,Fortaleza,Sandália,76,110,,,,,,,
Maryanna,Correa,1989-12-14,São Paulo,Camiseta,111,85,,,,,,,
Jucelia,Bailly,1989-07-27,Rio de Janeiro,Pulseira,110,30,,,,,,,
Tayna,Coimbra,1991-02-23,Curitiba,Bermuda,107,150,,,,,,,
Tayna,Coimbra,1985-12-13,Rio de Janeiro,Tênis,26,200,,,,,,,
Emanuella,Fialho,1990-06-19,São Paulo,Bermuda,46,150,,,,,,,
Patricia,Camara,1992-10-13,Curitiba,Chinelo,137,25,,,,,,,
Eduarda,Figueiredo,1993-01-25,Salvador,Vestido,132,300,,,,,,,
Andrew,Carvalhal,1987-02-28,Brasília,Casaco,13,190,,,,,,,
Emanuella,Fialho,1992-07-22,Curitiba,Camiseta,116,85,,,,,,,
Natália,Huon,1986-02-02,Curitiba,Bermuda,85,150,,,,,,,
Emanuella,Fialho,1993-03-02,Fortaleza,Saia,101,75,,,,,,,
Maryanna,Correa,1985-09-05,Brasília,Vestido,149,300,,,,,,,
Elizeu,Barros,1987-02-15,Brasília,Saia,96,75,,,,,,,
Emanuella,Fialho,1991-12-10,Rio de Janeiro,Tênis,9,200,,,,,,,
Joyce,Ribas,1990-04-27,São Paulo,Saia,79,75,,,,,,,
Andrew,Carvalhal,1989-12-22,Rio de Janeiro,Bermuda,116,150,,,,,,,
Andrew,Carvalhal,1990-10-04,Salvador,Saia,45,75,,,,,,,
Joyce,Ribas,1993-11-04,Fortaleza,Sapato,74,230,,,,,,,
Izabel,Milagre,1987-06-27,Rio de Janeiro,Jaqueta,119,250,,,,,,,
Izabel,Milagre,1993-09-14,Salvador,Short,7,55,,,,,,,
Eduarda,Figueiredo,1985-03-05,Brasília,Jaqueta,16,250,,,,,,,
Natália,Huon,1990-05-10,Salvador,Sapato,91,230,,,,,,,
Maryanna,Correa,1991-02-11,Rio de Janeiro,Sandália,36,110,,,,,,,
Andrew,Carvalhal,1986-05-18,Brasília,Camiseta,57,85,,,,,,,
Breno,Amaral,1991-09-18,São Paulo,Jaqueta,40,250,,,,,,,
Elizeu,Barros,1989-03-07,Curitiba,Chinelo,87,25,,,,,,,
Juliane,Felipi,1991-09-02,Rio de Janeiro,Tênis,140,200,,,,,,,
Emanuella,Fialho,1989-07-12,Curitiba,Bermuda,78,150,,,,,,,
Jucelia,Bailly,1992-08-16,Curitiba,Vestido,147,300,,,,,,,
Maryanna,Correa,1987-11-19,Curitiba,Camiseta,1,85,,,,,,,
Breno,Amaral,1987-12-21,Fortaleza,Saia,15,75,,,,,,,
Iago,Bensdorp,1986-01-30,Fortaleza,Tênis,95,200,,,,,,,
Maryanna,Correa,1990-03-09,Porto Alegre,Saia,97,75,,,,,,,
Breno,Amaral,1992-11-30,Rio de Janeiro,Short,113,55,,,,,,,
Andrew,Carvalhal,1986-04-09,Salvador,Vestido,112,300,,,,,,,
Paloma,Farias,1991-08-28,Porto Alegre,Vestido,18,300,,,,,,,
Joyce,Ribas,1990-08-31,Salvador,Casaco,141,190,,,,,,,
Breno,Amaral,1990-01-29,Porto Alegre,Jaqueta,138,250,,,,,,,
Izabel,Milagre,1990-12-06,Salvador,Bermuda,76,150,,,,,,,
Elizeu,Barros,1992-07-19,Brasília,Vestido,102,300,,,,,,,
Paloma,Farias,1986-08-23,Rio de Janeiro,Camiseta,125,85,,,,,,,
Andrew,Carvalhal,1989-07-07,Porto Alegre,Vestido,106,300,,,,,,,
Breno,Amaral,1992-02-10,Curitiba,Vestido,66,300,,,,,,,
Patricia,Camara,1985-01-04,Salvador,Vestido,15,300,,,,,,,
Tayna,Coimbra,1986-07-15,Rio de Janeiro,Sandália,76,110,,,,,,,
Izabel,Milagre,1993-11-02,Curitiba,Short,92,55,,,,,,,
Natália,Huon,1992-02-01,Porto Alegre,Saia,58,75,,,,,,,
Tayna,Coimbra,1993-08-08,Porto Alegre,Short,60,55,,,,,,,
Patricia,Camara,1987-06-12,Rio de Janeiro,Short,110,55,,,,,,,
Breno,Amaral,1986-12-14,Rio de Janeiro,Saia,106,75,,,,,,,
Maryanna,Correa,1990-05-22,Brasília,Short,133,55,,,,,,,
Paloma,Farias,1987-02-05,Curitiba,Short,53,55,,,,,,,
Patricia,Camara,1991-12-15,Brasília,Saia,58,75,,,,,,,
Andrew,Carvalhal,1992-12-24,São Paulo,Sandália,36,110,,,,,,,
Paloma,Farias,1987-02-14,Salvador,Tênis,73,200,,,,,,,
Emanuella,Fialho,1989-07-09,Porto Alegre,Sapato,79,230,,,,,,,
Breno,Amaral,1986-05-12,São Paulo,Chinelo,20,25,,,,,,,
Jucelia,Bailly,1990-09-04,Curitiba,Sapato,52,230,,,,,,,
Natália,Huon,1990-09-21,Curitiba,Camiseta,145,85,,,,,,,
Natália,Huon,1992-10-15,Brasília,Pulseira,69,30,,,,,,,
Emanuella,Fialho,1989-12-17,Curitiba,Saia,123,75,,,,,,,
Juliane,Felipi,1992-01-30,Curitiba,Camiseta,39,85,,,,,,,
Breno,Amaral,1991-08-17,Curitiba,Tênis,78,200,,,,,,,
Andrew,Carvalhal,1986-03-20,Fortaleza,Casaco,90,190,,,,,,,
Jucelia,Bailly,1990-06-24,Curitiba,Vestido,36,300,,,,,,,
Izabel,Milagre,1992-06-30,Curitiba,Sandália,22,110,,,,,,,
Juliane,Felipi,1985-09-19,Rio de Janeiro,Vestido,141,300,,,,,,,
Natália,Huon,1992-09-05,São Paulo,Sapato,138,230,,,,,,,
Andrew,Carvalhal,1987-07-16,Porto Alegre,Saia,139,75,,,,,,,
Izabel,Milagre,1992-07-12,Porto Alegre,Pulseira,51,30,,,,,,,
Eduarda,Figueiredo,1985-10-18,Curitiba,Short,67,55,,,,,,,
Maryanna,Correa,1991-03-25,Curitiba,Tênis,119,200,,,,,,,
Natália,Huon,1988-08-24,Curitiba,Bermuda,70,150,,,,,,,
Eduarda,Figueiredo,1986-05-31,Rio de Janeiro,Short,132,55,,,,,,,
Izabel,Milagre,1992-09-20,Brasília,Casaco,1,190,,,,,,,
Elizeu,Barros,1987-02-15,Fortaleza,Saia,10,75,,,,,,,
Breno,Amaral,1991-05-13,Porto Alegre,Short,3,55,,,,,,,
Tayna,Coimbra,1986-04-07,Salvador,Jaqueta,47,250,,,,,,,
Tayna,Coimbra,1993-04-02,Fortaleza,Short,6,55,,,,,,,
Elizeu,Barros,1987-07-11,Salvador,Casaco,36,190,,,,,,,
Eduarda,Figueiredo,1986-11-26,Salvador,Saia,88,75,,,,,,,
Jucelia,Bailly,1986-02-23,Curitiba,Jaqueta,104,250,,,,,,,
Joyce,Ribas,1992-07-08,Porto Alegre,Pulseira,18,30,,,,,,,
Patricia,Camara,1990-06-08,Curitiba,Chinelo,82,25,,,,,,,
Andrew,Carvalhal,1989-01-25,Salvador,Tênis,138,200,,,,,,,
Tayna,Coimbra,1991-09-29,Brasília,Vestido,8,300,,,,,,,
Izabel,Milagre,1987-03-15,Salvador,Short,127,55,,,,,,,
Andrew,Carvalhal,1989-04-28,Curitiba,Short,92,55,,,,,,,
Izabel,Milagre,1986-04-05,Salvador,Camiseta,23,85,,,,,,,
Paloma,Farias,1985-07-30,Salvador,Pulseira,83,30,,,,,,,
Elizeu,Barros,1987-03-18,São Paulo,Vestido,8,300,,,,,,,
Emanuella,Fialho,1986-11-10,Brasília,Pulseira,56,30,,,,,,,
Joyce,Ribas,1990-01-22,Salvador,Short,139,55,,,,,,,
Natália,Huon,1991-09-06,Fortaleza,Vestido,134,300,,,,,,,
Jucelia,Bailly,1993-03-07,Rio de Janeiro,Saia,113,75,,,,,,,
Joyce,Ribas,1993-08-08,Porto Alegre,Bermuda,13,150,,,,,,,
Andrew,Carvalhal,1990-01-18,Salvador,Saia,94,75,,,,,,,
Natália,Huon,1986-03-15,Porto Alegre,Short,148,55,,,,,,,
Juliane,Felipi,1992-12-06,Salvador,Saia,74,75,,,,,,,
Paloma,Farias,1993-02-08,Curitiba,Camiseta,15,85,,,,,,,
Maryanna,Correa,1987-04-09,Porto Alegre,Short,84,55,,,,,,,
Paloma,Farias,1988-02-29,Curitiba,Chinelo,38,25,,,,,,,
Jucelia,Bailly,1986-08-16,Curitiba,Jaqueta,105,250,,,,,,,
Breno,Amaral,1988-09-11,Fortaleza,Jaqueta,6,250,,,,,,,
Juliane,Felipi,1988-08-17,Brasília,Tênis,34,200,,,,,,,
Elizeu,Barros,1991-09-15,Curitiba,Camiseta,123,85,,,,,,,
Tayna,Coimbra,1987-06-01,Salvador,Tênis,1,200,,,,,,,
Jucelia,Bailly,1988-06-26,Porto Alegre,Camiseta,30,85,,,,,,,
Andrew,Carvalhal,1985-04-06,Curitiba,Pulseira,54,30,,,,,,,
Jucelia,Bailly,1989-11-14,Fortaleza,Vestido,92,300,,,,,,,
Jucelia,Bailly,1993-10-17,Fortaleza,Vestido,53,300,,,,,,,
Joyce,Ribas,1985-10-19,São Paulo,Sandália,90,110,,,,,,,
Paloma,Farias,1987-04-02,São Paulo,Camiseta,116,85,,,,,,,
Izabel,Milagre,1993-09-14,São Paulo,Sapato,71,230,,,,,,,
Iago,Bensdorp,1989-03-16,Rio de Janeiro,Casaco,98,190,,,,,,,
Tayna,Coimbra,1993-08-25,São Paulo,Camiseta,28,85,,,,,,,
Jucelia,Bailly,1991-10-13,Salvador,Tênis,75,200,,,,,,,
Andrew,Carvalhal,1991-12-21,Rio de Janeiro,Pulseira,63,30,,,,,,,
Joyce,Ribas,1992-06-23,Fortaleza,Pulseira,73,30,,,,,,,
Natália,Huon,1986-01-29,Fortaleza,Vestido,40,300,,,,,,,
Tayna,Coimbra,1991-01-02,Salvador,Chinelo,142,25,,,,,,,
Izabel,Milagre,1993-05-23,São Paulo,Short,70,55,,,,,,,
Iago,Bensdorp,1992-07-21,Fortaleza,Sandália,35,110,,,,,,,
Juliane,Felipi,1992-12-05,Rio de Janeiro,Pulseira,64,30,,,,,,,
Natália,Huon,1992-04-09,Brasília,Short,20,55,,,,,,,
Andrew,Carvalhal,1992-08-09,Brasília,Jaqueta,134,250,,,,,,,
Andrew,Carvalhal,1992-07-13,Rio de Janeiro,Bermuda,118,150,,,,,,,
Breno,Amaral,1989-06-06,Rio de Janeiro,Jaqueta,142,250,,,,,,,
Joyce,Ribas,1986-02-13,Curitiba,Bermuda,53,150,,,,,,,
Iago,Bensdorp,1989-12-06,Curitiba,Bermuda,16,150,,,,,,,
Maryanna,Correa,1993-10-31,São Paulo,Short,100,55,,,,,,,
Joyce,Ribas,1993-05-02,Brasília,Tênis,56,200,,,,,,,
Patricia,Camara,1986-12-29,Curitiba,Camiseta,85,85,,,,,,,
Juliane,Felipi,1993-06-15,Rio de Janeiro,Sapato,10,230,,,,,,,
Breno,Amaral,1987-02-07,Curitiba,Bermuda,112,150,,,,,,,
Maryanna,Correa,1986-09-15,São Paulo,Jaqueta,94,250,,,,,,,
Joyce,Ribas,1985-07-30,Porto Alegre,Sapato,97,230,,,,,,,
Iago,Bensdorp,1987-02-07,São Paulo,Sapato,74,230,,,,,,,
Jucelia,Bailly,1993-05-06,São Paulo,Bermuda,135,150,,,,,,,
Andrew,Carvalhal,1985-04-18,Curitiba,Jaqueta,74,250,,,,,,,
Iago,Bensdorp,1993-09-27,Curitiba,Bermuda,10,150,,,,,,,
Elizeu,Barros,1991-10-02,Porto Alegre,Camiseta,55,85,,,,,,,
Joyce,Ribas,1989-04-15,São Paulo,Camiseta,89,85,,,,,,,
Patricia,Camara,1989-09-08,Fortaleza,Sandália,78,110,,,,,,,
Eduarda,Figueiredo,1991-02-27,Curitiba,Sandália,42,110,,,,,,,
Joyce,Ribas,1986-05-11,São Paulo,Sandália,35,110,,,,,,,
Juliane,Felipi,1986-11-05,Fortaleza,Chinelo,80,25,,,,,,,
Natália,Huon,1992-02-11,Salvador,Sapato,16,230,,,,,,,
Andrew,Carvalhal,1988-02-03,Fortaleza,Jaqueta,118,250,,,,,,,
Eduarda,Figueiredo,1993-10-02,Porto Alegre,Chinelo,86,25,,,,,,,
Natália,Huon,1991-12-03,Brasília,Tênis,51,200,,,,,,,
Andrew,Carvalhal,1987-03-21,Rio de Janeiro,Casaco,47,190,,,,,,,
